time,wx,wy,wz
0.005090951919555664,0.18,0.03,-0.22
0.019450902938842773,0.17,-0.05,-0.25
0.02513408660888672,0.1,-0.15,-0.25
0.042388916015625,0.02,-0.21,-0.23
0.04505205154418945,-0.02,-0.19,-0.23
0.055867910385131836,-0.03,-0.1,-0.25
0.07036399841308594,-0.01,-0.0,-0.25
0.07527780532836914,-0.01,0.05,-0.24
0.09343910217285156,-0.01,0.08,-0.23
0.09537196159362793,-0.03,0.1,-0.22
0.10591506958007812,-0.05,0.1,-0.23
0.11997389793395996,-0.08,0.11,-0.25
0.1249079704284668,-0.11,0.14,-0.27
0.1428380012512207,-0.15,0.16,-0.29
0.14588499069213867,-0.19,0.17,-0.31
0.15535998344421387,-0.24,0.2,-0.33
0.16698408126831055,-0.26,0.24,-0.34
0.17489290237426758,-0.28,0.29,-0.34
0.19005990028381348,-0.3,0.29,-0.35
0.19488787651062012,-0.34,0.25,-0.36
0.21396994590759277,-0.39,0.22,-0.37
0.21593284606933594,-0.45,0.29,-0.39
0.22597289085388184,-0.53,0.47,-0.41
0.2390758991241455,-0.61,0.86,-0.43
0.2454209327697754,-0.7,1.49,-0.44
0.26267480850219727,-0.85,2.2,-0.46
0.26479101181030273,-1.09,2.82,-0.49
0.27457594871520996,-1.46,3.28,-0.49
0.2879209518432617,-1.91,3.72,-0.51
0.2951829433441162,-2.38,4.14,-0.45
0.31125879287719727,-2.84,4.64,-0.28
0.315018892288208,-3.19,5.12,0.0
0.33255577087402344,-3.32,5.53,0.34
0.33501100540161133,-3.21,5.82,0.67
0.3449430465698242,-2.92,5.88,0.91
0.35683488845825195,-2.46,5.66,0.87
0.365354061126709,-1.88,4.9,0.44
0.38041210174560547,-1.15,3.29,-0.25
0.38480186462402344,-0.18,1.7,-0.98
0.40050792694091797,0.84,-0.03,-1.72
0.40455198287963867,1.65,-1.94,-2.45
0.42308998107910156,1.39,-3.7,-2.65
0.42555809020996094,1.0,-5.2,-2.67
0.434445858001709,0.57,-5.35,-2.82
0.44764280319213867,0.11,-5.09,-3.05
0.45591187477111816,-0.61,-4.29,-3.3
0.4706909656524658,-1.57,-3.55,-3.45
0.47400498390197754,-2.54,-2.22,-3.39
0.49147605895996094,-3.26,-0.38,-3.12
0.4949817657470703,-3.71,0.84,-2.72
0.5039148330688477,-3.91,1.16,-2.26
0.5165839195251465,-3.84,0.93,-1.77
0.5242948532104492,-3.55,-0.03,-1.29
0.5399808883666992,-2.88,-1.17,-0.87
0.544226884841919,-1.75,-1.56,-0.52
0.5625529289245605,-0.31,-1.51,-0.23
0.5645737648010254,1.27,-1.15,-0.11
0.5750770568847656,2.59,-1.28,-0.2
0.5877599716186523,3.38,-2.25,-0.51
0.5964550971984863,3.74,-3.46,-1.01
0.6111588478088379,3.97,-4.27,-1.61
0.6157560348510742,4.16,-4.13,-1.99
0.6334280967712402,4.52,-3.48,-2.22
0.6356399059295654,5.01,-2.57,-2.53
0.6461200714111328,5.47,-2.49,-3.01
0.6584029197692871,5.8,-3.24,-3.44
0.6659598350524902,6.43,-3.55,-3.68
0.681243896484375,7.17,-2.92,-3.45
0.6852359771728516,8.16,-2.54,-2.49
0.696052074432373,9.47,-2.42,-1.51
0.7069587707519531,10.84,-2.98,-1.14
0.7156209945678711,12.35,-4.13,-1.19
0.7299108505249023,14.13,-5.57,-1.69
0.7351429462432861,15.69,-7.05,-2.56
0.7512660026550293,16.4,-8.09,-3.55
0.7543840408325195,16.1,-8.66,-3.97
0.7634239196777344,14.83,-8.51,-3.83
0.7739458084106445,12.71,-6.84,-3.43
0.7841300964355469,10.33,-4.24,-2.62
0.7968878746032715,8.58,-1.5,-1.85
0.8037679195404053,7.53,0.11,-1.43
0.8184537887573242,6.67,-0.01,-1.62
0.8231229782104492,5.85,-1.84,-2.33
0.8403568267822266,5.12,-3.32,-3.05
0.8438057899475098,4.68,-3.68,-3.55
0.8530330657958984,4.34,-3.49,-3.55
0.8651309013366699,3.91,-3.07,-3.07
0.8733029365539551,3.38,-2.82,-2.4
0.887779951095581,2.65,-2.83,-1.62
0.8941168785095215,1.84,-2.83,-0.87
0.9095377922058105,0.97,-2.94,-0.35
0.9133529663085938,0.24,-3.11,-0.08
0.924257755279541,-0.31,-3.35,0.04
0.9346089363098145,-0.63,-3.6,0.18
0.9432668685913086,-0.78,-3.85,0.36
0.9575228691101074,-0.85,-4.09,0.56
0.9635190963745117,-0.9,-4.3,0.75
0.9782500267028809,-0.93,-4.3,1.0
0.9829859733581543,-0.95,-4.02,1.36
0.9995460510253906,-0.91,-3.8,1.77
1.0034749507904053,-0.77,-3.72,2.31
1.013828992843628,-0.53,-3.81,2.93
1.0235369205474854,-0.22,-4.06,3.57
1.0328829288482666,0.16,-4.43,4.21
1.0429940223693848,0.57,-4.79,4.92
1.0537109375,0.98,-4.82,5.76
1.0629069805145264,1.32,-4.65,6.74
1.0762639045715332,1.52,-4.37,7.65
1.0838699340820312,1.51,-3.93,8.62
1.0993518829345703,1.2,-3.33,9.66
1.1034119129180908,0.69,-2.62,10.64
1.1130428314208984,0.09,-2.0,11.54
1.1238279342651367,-0.43,-1.73,12.3
1.1326770782470703,-0.51,-1.8,12.83
1.1427898406982422,0.04,-2.21,13.18
1.1561698913574219,1.2,-2.71,13.34
1.1646718978881836,2.72,-3.15,13.44
1.1806349754333496,4.02,-3.76,13.3
1.18464994430542,4.5,-4.71,12.74
1.2026548385620117,4.31,-5.14,12.42
1.204988956451416,3.61,-4.88,12.68
1.2146668434143066,2.83,-3.56,13.12
1.2270889282226562,2.22,-1.43,13.37
1.234518051147461,1.75,1.09,13.04
1.250736951828003,1.12,3.38,11.74
1.255105972290039,0.03,4.67,9.32
1.2648258209228516,-1.21,4.66,6.61
1.2787718772888184,-1.99,3.76,4.58
1.2839860916137695,-2.16,2.4,3.86
1.3008809089660645,-1.63,1.32,4.1
1.3038859367370605,-0.56,0.99,4.72
1.314396858215332,0.53,1.59,5.38
1.3256077766418457,0.87,2.49,5.68
1.3337898254394531,0.39,3.38,5.3
1.3447909355163574,-0.78,3.63,4.43
1.357240915298462,-1.95,3.33,3.51
1.3649568557739258,-2.66,2.63,2.65
1.3749828338623047,-2.87,1.94,1.7
1.3856029510498047,-2.42,1.6,0.49
1.3936998844146729,-1.35,1.61,-0.88
1.4046239852905273,-0.06,1.79,-2.1
1.413640022277832,1.06,1.62,-3.16
1.4242467880249023,1.92,1.05,-4.22
1.4340388774871826,2.53,0.12,-5.25
1.4448559284210205,2.94,-1.18,-6.2
1.4540348052978516,3.09,-2.53,-7.07
1.4645049571990967,3.01,-3.53,-7.86
1.4735970497131348,2.73,-3.97,-8.48
1.4845380783081055,2.27,-3.82,-8.91
1.4940400123596191,1.68,-3.16,-9.2
1.505314826965332,1.04,-2.19,-9.48
1.515084981918335,0.44,-1.2,-9.84
1.5244059562683105,-0.04,-0.35,-10.3
1.535226821899414,-0.34,0.23,-10.81
1.5439720153808594,-0.47,0.6,-11.21
1.554900884628296,-0.42,0.86,-11.44
1.5637288093566895,-0.22,1.1,-11.54
1.5745677947998047,-0.01,1.33,-11.51
1.5855019092559814,0.13,1.53,-11.4
1.5934159755706787,0.18,1.83,-11.18
1.6031749248504639,0.09,2.24,-10.84
1.6138629913330078,-0.07,2.46,-10.39
1.623891830444336,-0.19,2.16,-9.92
1.6345219612121582,-0.28,1.42,-9.59
1.644474983215332,-0.3,0.74,-9.3
1.65358304977417,-0.15,0.62,-8.7
1.6645917892456055,0.15,1.18,-7.7
1.6721720695495605,0.42,2.15,-6.51
1.682478904724121,0.66,3.37,-5.5
1.6914610862731934,0.89,4.64,-5.03
1.7013969421386719,1.11,5.25,-5.25
1.7116889953613281,1.42,4.69,-6.01
1.7226629257202148,1.99,2.93,-6.76
1.7341599464416504,2.9,0.48,-6.99
1.7452669143676758,3.99,-1.7,-6.62
1.7533278465270996,5.01,-2.91,-6.03
1.7647409439086914,5.83,-2.89,-5.83
1.77457594871521,6.54,-1.85,-6.07
1.785050868988037,7.22,-0.44,-6.24
1.7930097579956055,7.33,0.15,-5.79
1.8043208122253418,6.41,0.06,-4.65
1.8138718605041504,4.84,-0.27,-2.85
1.824021816253662,2.9,-0.65,-1.04
1.8345308303833008,1.01,-0.97,0.34
1.843324899673462,-0.37,-1.16,1.34
1.854435920715332,-1.32,-0.99,2.2
1.8631930351257324,-2.0,-0.47,3.28
1.874121904373169,-2.58,-0.19,4.61
1.884645938873291,-3.07,-0.22,6.02
1.8929190635681152,-3.45,-0.46,7.28
1.902345895767212,-3.64,-0.76,8.35
1.9132728576660156,-3.56,-1.13,9.37
1.9223170280456543,-3.24,-1.61,10.44
1.9338397979736328,-2.75,-2.07,11.52
1.943206787109375,-2.28,-2.38,12.6
1.9536559581756592,-1.94,-2.4,13.64
1.9631428718566895,-1.79,-2.11,14.37
1.9733037948608398,-1.99,-1.57,14.23
1.9839458465576172,-2.44,-0.8,13.1
1.9924077987670898,-2.93,0.15,11.57
2.0030288696289062,-3.29,0.79,10.49
2.013791084289551,-3.23,0.72,9.88
2.022136926651001,-2.57,-0.16,9.56
2.0343399047851562,-1.37,-1.44,9.23
2.0440688133239746,0.17,-2.6,8.69
2.052597999572754,1.69,-3.32,8.03
2.064119815826416,2.8,-3.57,7.45
2.0724740028381348,3.28,-3.43,6.98
2.0836739540100098,3.07,-2.93,6.66
2.0920848846435547,2.4,-1.89,6.61
2.103494882583618,1.52,-0.27,6.8
2.1121859550476074,0.56,1.63,7.14
2.1230618953704834,-0.44,3.12,7.55
2.132577896118164,-1.39,3.86,7.92
2.143634796142578,-2.24,3.73,8.05
2.152446985244751,-2.83,2.9,7.81
2.1630940437316895,-3.14,1.79,7.13
2.172231912612915,-2.9,0.79,6.21
2.1833648681640625,-2.14,0.5,5.41
2.1921300888061523,-1.23,0.71,4.73
2.202383041381836,-0.28,1.0,3.99
2.2122349739074707,0.77,0.9,2.79
2.2220818996429443,1.95,0.27,1.0
2.2335968017578125,3.11,-1.18,-1.09
2.242342948913574,4.02,-2.84,-3.08
2.2531659603118896,4.37,-4.02,-4.6
2.2622480392456055,4.05,-4.48,-5.54
2.273310899734497,3.07,-4.21,-6.01
2.2844018936157227,1.81,-3.2,-6.32
2.29141902923584,0.7,-1.76,-6.77
2.3033018112182617,0.07,-0.5,-7.44
2.3127760887145996,0.01,0.23,-8.23
2.321352005004883,0.37,0.42,-9.0
2.3338818550109863,0.9,0.21,-9.7
2.3419508934020996,1.45,-0.17,-10.3
2.353275775909424,1.89,-0.51,-10.77
2.3618741035461426,2.13,-0.68,-11.14
2.372943878173828,2.2,-0.65,-11.42
2.3838977813720703,2.14,-0.43,-11.58
2.391307830810547,2.03,-0.08,-11.62
2.403226852416992,1.94,0.24,-11.58
2.412321090698242,1.88,0.46,-11.41
2.4212839603424072,1.87,0.55,-11.14
2.4329168796539307,1.86,0.44,-10.78
2.4416918754577637,1.8,0.32,-10.33
2.4497969150543213,1.58,0.31,-9.9
2.460631847381592,1.19,0.45,-9.46
2.469580888748169,0.76,0.67,-8.91
2.480839967727661,0.37,0.85,-8.3
2.489640951156616,0.14,1.03,-7.76
2.499835968017578,0.13,1.15,-7.33
2.5096099376678467,0.29,1.1,-6.85
2.5205469131469727,0.49,0.78,-6.24
2.5303308963775635,0.62,0.21,-5.63
2.5394608974456787,0.72,-0.56,-5.1
2.5503220558166504,0.84,-1.58,-4.66
2.5602149963378906,1.05,-2.71,-4.49
2.5698370933532715,1.55,-3.44,-4.59
2.5807628631591797,2.38,-3.47,-4.86
2.5893828868865967,3.44,-2.79,-5.08
2.6016199588775635,4.38,-1.92,-4.94
2.6127328872680664,4.69,-1.52,-4.26
2.621401786804199,4.16,-1.54,-2.97
2.6318628787994385,3.08,-1.65,-1.35
2.641263008117676,1.68,-1.76,0.05
2.652981758117676,0.36,-1.81,0.89
2.6623408794403076,-0.49,-1.52,1.3
2.6711459159851074,-0.86,-1.23,1.78
2.6819519996643066,-0.91,-1.13,2.63
2.690545082092285,-0.76,-1.21,3.77
2.701878070831299,-0.53,-1.28,4.92
2.710692882537842,-0.3,-1.22,5.92
2.719876766204834,-0.12,-1.03,6.73
2.729841947555542,-0.02,-0.82,7.45
2.740234851837158,0.04,-0.6,8.14
2.7490458488464355,0.05,-0.31,8.81
2.759537935256958,0.02,0.02,9.44
2.7689619064331055,-0.02,0.25,10.03
2.7804760932922363,-0.05,0.26,10.68
2.788774013519287,-0.06,0.01,11.31
2.7991299629211426,0.03,-0.37,11.81
2.8101258277893066,0.3,-0.73,12.07
2.820891857147217,0.76,-0.99,12.15
2.8315320014953613,1.36,-1.02,11.98
2.842404842376709,1.94,-0.66,11.45
2.8521409034729004,2.28,0.01,10.56
2.8606998920440674,2.37,0.68,9.5
2.8724379539489746,2.35,1.05,8.71
2.8830947875976562,2.36,0.89,8.4
2.890176773071289,2.51,0.23,8.39
2.901580810546875,2.95,-0.6,8.48
2.908477783203125,3.65,-1.37,8.45
2.918750762939453,4.41,-1.84,8.27
2.9314539432525635,4.95,-1.97,8.08
2.942621946334839,5.18,-1.59,7.97
2.9519569873809814,5.02,-0.68,7.88
2.9604568481445312,4.33,0.41,7.64
2.971618890762329,3.22,1.45,7.32
2.9825239181518555,2.07,2.48,7.06
2.989877939224243,1.23,3.44,7.05
3.0016908645629883,0.67,4.31,7.33
3.0108208656311035,0.33,5.17,7.67
3.0203189849853516,-0.06,5.9,7.8
3.031209945678711,-0.61,6.37,7.65
3.040930986404419,-1.15,6.63,7.22
3.0505359172821045,-1.75,6.62,6.71
3.0607059001922607,-2.38,5.75,5.99
